Program Link,_id,University Name,Program Title,Area of Study,Target Group,Focus,combined_text,embedding
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-koeln-3d-animation-for-film-and-games-w60835/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w60835&hec-offset=0,6784dd641796e275dc3e09fc,Technische Hochschule Köln,3D Animation for Film and Games,"Media Technology, Graphic Design",Unknown,Unknown,"3D Animation for Film and Games | Media Technology, Graphic Design | Unknown | Unknown","[ 0.0145653  -0.01928107 -0.00377849 ... -0.01468287 -0.0145653
 -0.01545359]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/german-international-university-accounting-financial-analysis-w71901/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w71901&hec-offset=1,6784dd651796e275dc3e09fd,German International University,Accounting & Financial Analysis,"Accounting, Taxation, Controlling",Unknown,Unknown,"Accounting & Financial Analysis | Accounting, Taxation, Controlling | Unknown | Unknown","[ 0.00619053 -0.02718363  0.01493277 ...  0.00566651  0.00252243
 -0.01792714]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/frankfurt-university-of-applied-sciences-advanced-architecture-from-urban-design-to-building-construction-w60538/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w60538&hec-offset=2,6784dd651796e275dc3e09fe,Frankfurt University of Applied Sciences,Advanced Architecture - From Urban Design to Building Construction,Architecture,The programme is aimed at graduates with a first academic degree in architecture from European and non-European countries who want to focus on architecture in an international context.,Unknown,Advanced Architecture - From Urban Design to Building Construction | Architecture | Unknown | The programme is aimed at graduates with a first academic degree in architecture from European and non-European countries who want to focus on architecture in an international context.,"[ 0.01740318 -0.02066463 -0.00306008 ... -0.02794016 -0.02374121
 -0.00234375]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-universitaet-dresden-advanced-computational-and-civil-engineering-structural-studies-access-w30823/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w30823&hec-offset=3,6784dd651796e275dc3e09ff,Technische Universität Dresden,Advanced Computational and Civil Engineering Structural Studies (ACCESS),Civil Engineering,Unknown,Unknown,Advanced Computational and Civil Engineering Structural Studies (ACCESS) | Civil Engineering | Unknown | Unknown,"[ 0.00089035 -0.01072221  0.01519901 ... -0.03186265 -0.00890524
 -0.00726789]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/south-westphalia-university-of-applied-sciences-advanced-engineering-and-engineering-management-w6986/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w6986&hec-offset=4,6784dd651796e275dc3e0a00,South Westphalia University of Applied Sciences,Advanced Engineering and Engineering Management,"Electronics, Engineering and Management",Graduates of engineering science degree courses,"Industrial Engineering, Electronics, Mechatronics, Mechanics, Systems Engineering, International Project Management, Technical Communication, Integrated Management","Advanced Engineering and Engineering Management | Electronics, Engineering and Management | Industrial Engineering, Electronics, Mechatronics, Mechanics, Systems Engineering, International Project Management, Technical Communication, Integrated Management | Graduates of engineering science degree courses","[-0.00228134 -0.01765237 -0.01425718 ... -0.03460229  0.00529441
 -0.00566515]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/chemnitz-university-of-technology-advanced-functional-materials-w49030/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w49030&hec-offset=5,6784dd651796e275dc3e0a01,Chemnitz University of Technology,Advanced Functional Materials,"Chemistry, Nanosciences, Physics",The course is aimed at Bachelor's degree graduates with a specialisation in Physics or Chemistry,"Material Chemistry (Synthetic Methods in Chemistry; Sustainable Chemical Production Technologies), Photovoltaics with Nanotechnology; Physics of Solar Cells), Materials Physics (Surfaces, Thin Films and Interfaces; Semiconductor Physics – Nanostructures;, Advanced Functional Materials (Advanced Concepts in Chemistry and Physics; Material Characterisation;, Facets of Materials Science), Research project, Subject-specific and language specialisation modules","Advanced Functional Materials | Chemistry, Nanosciences, Physics | Material Chemistry (Synthetic Methods in Chemistry; Sustainable Chemical Production Technologies), Photovoltaics with Nanotechnology; Physics of Solar Cells), Materials Physics (Surfaces, Thin Films and Interfaces; Semiconductor Physics – Nanostructures;, Advanced Functional Materials (Advanced Concepts in Chemistry and Physics; Material Characterisation;, Facets of Materials Science), Research project, Subject-specific and language specialisation modules | The course is aimed at Bachelor's degree graduates with a specialisation in Physics or Chemistry","[ 0.00416334  0.00328257 -0.00162387 ... -0.01787418 -0.00875132
 -0.0151141 ]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-duisburg-essen-advanced-general-dental-practice-18-months-w65149/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w65149&hec-offset=6,6784dd651796e275dc3e0a02,University of Duisburg-Essen,Advanced General Dental Practice (18 months),Dental Medicine,Unknown,Unknown,Advanced General Dental Practice (18 months) | Dental Medicine | Unknown | Unknown,"[ 0.00309282 -0.00628509  0.0388774  ... -0.00969283 -0.00479006
 -0.00066754]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/west-saxon-university-of-applied-sciences-of-zwickau-advanced-green-engineering-and-sustainable-management-w66902/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w66902&hec-offset=7,6784dd651796e275dc3e0a03,West Saxon University of Applied Sciences of Zwickau,Advanced Green Engineering and Sustainable Management,"Chemical Engineering, Physical Chemistry, Physics, Sustainability Sciences (Ecological)",Unknown,Unknown,"Advanced Green Engineering and Sustainable Management | Chemical Engineering, Physical Chemistry, Physics, Sustainability Sciences (Ecological) | Unknown | Unknown","[ 0.02388504 -0.00438859  0.01404614 ... -0.02883086 -0.00968722
 -0.00349835]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-applied-sciences-rosenheim-advanced-industrial-engineering-w67373/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w67373&hec-offset=8,6784dd651796e275dc3e0a04,University of Applied Sciences Rosenheim,Advanced Industrial Engineering,Engineering and Management,Unknown,Unknown,Advanced Industrial Engineering | Engineering and Management | Unknown | Unknown,"[ 0.00662007 -0.01813015 -0.00190036 ... -0.02097648 -0.00783751
  0.00460336]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/chemnitz-university-of-technology-advanced-manufacturing-w61835/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w61835&hec-offset=9,6784dd651796e275dc3e0a05,Chemnitz University of Technology,Advanced Manufacturing,"Mechanical Engineering, Physics",Unknown,"Hybrid Technologies, Printed Functionalities, Work Design and Sustainability Management, Production Systems","Advanced Manufacturing | Mechanical Engineering, Physics | Hybrid Technologies, Printed Functionalities, Work Design and Sustainability Management, Production Systems | Unknown","[-0.00784799 -0.01228732 -0.0232004  ... -0.00231398 -0.01265109
 -0.00125972]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/freiberg-university-of-mining-and-technology-advanced-materials-analysis-w64342/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w64342&hec-offset=10,6784dd661796e275dc3e0a06,Freiberg University of Mining and Technology,Advanced Materials Analysis,Materials Science,Unknown,Unknown,Advanced Materials Analysis | Materials Science | Unknown | Unknown,"[ 0.00626411  0.00869346 -0.00693335 ... -0.00914855 -0.0055246
  0.00433335]"
