University Name,Program Title,Program Link,Area of Study,Target Group,Focus
Technische Hochschule Köln,3D Animation for Film and Games,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-koeln-3d-animation-for-film-and-games-w60835/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w60835&hec-offset=0,"['Media Technology', 'Graphic Design']",,
German International University,Accounting & Financial Analysis,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/german-international-university-accounting-financial-analysis-w71901/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w71901&hec-offset=1,"Accounting, Taxation, Controlling",,
Frankfurt University of Applied Sciences,Advanced Architecture - From Urban Design to Building Construction,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/frankfurt-university-of-applied-sciences-advanced-architecture-from-urban-design-to-building-construction-w60538/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w60538&hec-offset=2,Architecture,The programme is aimed at graduates with a first academic degree in architecture from European and non-European countries who want to focus on architecture in an international context.,
Technische Universität Dresden,Advanced Computational and Civil Engineering Structural Studies (ACCESS),https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-universitaet-dresden-advanced-computational-and-civil-engineering-structural-studies-access-w30823/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w30823&hec-offset=3,Civil Engineering,,
South Westphalia University of Applied Sciences,Advanced Engineering and Engineering Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/south-westphalia-university-of-applied-sciences-advanced-engineering-and-engineering-management-w6986/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w6986&hec-offset=4,"['Electronics', 'Engineering and Management']",Graduates of engineering science degree courses,"Industrial Engineering, Electronics, Mechatronics, Mechanics, Systems Engineering, International Project Management, Technical Communication, Integrated Management"
Chemnitz University of Technology,Advanced Functional Materials,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/chemnitz-university-of-technology-advanced-functional-materials-w49030/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w49030&hec-offset=5,"['Chemistry', 'Nanosciences', 'Physics']",The course is aimed at Bachelor's degree graduates with a specialisation in Physics or Chemistry,"Material Chemistry (Synthetic Methods in Chemistry; Sustainable Chemical Production Technologies), Photovoltaics with Nanotechnology; Physics of Solar Cells), Materials Physics (Surfaces, Thin Films and Interfaces; Semiconductor Physics – Nanostructures;, Advanced Functional Materials (Advanced Concepts in Chemistry and Physics; Material Characterisation;, Facets of Materials Science), Research project, Subject-specific and language specialisation modules"
University of Duisburg-Essen,Advanced General Dental Practice (18 months),https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-duisburg-essen-advanced-general-dental-practice-18-months-w65149/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w65149&hec-offset=6,Dental Medicine,,
West Saxon University of Applied Sciences of Zwickau,Advanced Green Engineering and Sustainable Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/west-saxon-university-of-applied-sciences-of-zwickau-advanced-green-engineering-and-sustainable-management-w66902/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w66902&hec-offset=7,"['Chemical Engineering', 'Physical Chemistry', 'Physics', 'Sustainability Sciences (Ecological)']",,
University of Applied Sciences Rosenheim,Advanced Industrial Engineering,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-applied-sciences-rosenheim-advanced-industrial-engineering-w67373/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w67373&hec-offset=8,Engineering and Management,,
Chemnitz University of Technology,Advanced Manufacturing,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/chemnitz-university-of-technology-advanced-manufacturing-w61835/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w61835&hec-offset=9,"['Mechanical Engineering', 'Physics']",,"Hybrid Technologies, Printed Functionalities, Work Design and Sustainability Management, Production Systems"
Freiberg University of Mining and Technology,Advanced Materials Analysis,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/freiberg-university-of-mining-and-technology-advanced-materials-analysis-w64342/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w64342&hec-offset=10,Materials Science,,
University of Erlangen-Nuremberg,Advanced Materials and Processes,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-erlangen-nuremberg-advanced-materials-and-processes-w22911/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w22911&hec-offset=11,Materials Science,,
TU Dortmund University,Advanced Methods in Particle Physics,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/tu-dortmund-university-advanced-methods-in-particle-physics-w65071/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w65071&hec-offset=12,"['Experimental Physics', 'Physics', 'Theoretical Physics']",,"Particle Physics, Instrumentation, Detectors, Data Analysis, Applied Statistics, Machine Learning, Scientific Computing, Data Science, Artificial Intelligence"
Freiberg University of Mining and Technology,Advanced Mineral Resources Development,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/freiberg-university-of-mining-and-technology-advanced-mineral-resources-development-w45393/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w45393&hec-offset=13,"['Geosciences', 'Mineralogy', 'Sustainability Sciences (Economic)']",,"Economics, Mining Engineering, Mine Redevelopment, Environmental Management"
University of Erlangen-Nuremberg,Advanced Optical Technologies,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-erlangen-nuremberg-advanced-optical-technologies-w19124/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w19124&hec-offset=14,"['Laser Technology', 'Optical Engineering', 'Photonics']","Relevant Engineering Bachelor's degree, Bachelor's degree in Physics","Optical Technologies, Photonics, Lasers, Light"
Rhineland-Palatinate Technical University of Kaiserslautern-Landau,Advanced Quantum Physics,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/rhineland-palatinate-technical-university-of-kaiserslautern-landau-advanced-quantum-physics-w56976/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w56976&hec-offset=15,Physics,The degree course is aimed at Bachelor’s degree graduates from at home and abroad.,
Eberhard Karls University Tübingen,Advanced Quantum Physics,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/eberhard-karls-university-tuebingen-advanced-quantum-physics-w67707/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w67707&hec-offset=16,Experimental Physics,,
University of Magdeburg,Advanced Semiconductor Nanotechnologies,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-magdeburg-advanced-semiconductor-nanotechnologies-w68077/?hec-degreeType=37&hec-teachingLanguage=2&hec-id=w68077&hec-offset=17,"['Electrical Engineering', 'Engineering Physics']",,
